ABE,62144,58276
ABQ,45388,45128
ALB,113780,112528
ALO,2704,2704
AMA,24,
ANC,21394,21348
ART,3000,3002
ASE,6184,6182
ATL,437976,426556
ATW,34504,34430
AUS,122282,123140
AVL,6240,6242
AVP,17218,17428
AZO,44016,43970
BDL,194228,194522
BGM,2,4
BGR,964,4530
BHM,35940,37888
BIL,1444,1450
BIS,2120,2120
BMI,30786,30762
BNA,175532,176410
BOI,28018,28006
BOS,402200,393618
BTR,4210,4202
BTV,45320,47734
BUF,180474,180228
BWI,197090,195312
BZN,4158,4138
CAE,30566,28362
CAK,32816,32222
CHA,19152,19156
CHO,3758,3758
CHS,31510,31008
CID,110152,113098
CLE,273520,272118
CLT,244444,248644
CMH,205432,204360
CMI,54942,54840
CMX,6110,6112
COS,54250,51932
COU,822,822
CPR,268,270
CRW,17046,17042
CVG,273188,271568
CWA,26642,26642
DAB,52,52
DAL,7702,7706
DAY,127952,126214
DBQ,26186,26120
DCA,414784,413410
DEN,357756,351254
DFW,451182,461242
DLH,12634,12640
DSM,170588,184004
DTW,374416,378560
EAU,5948,5954
EGE,7682,7628
ELM,186,188
ELP,44650,44230
EUG,,2
EVV,45360,45352
EWR,487978,472282
FAI,164,164
FAR,38308,38100
FCA,1188,1184
FLL,80952,80934
FNT,10172,10178
FOE,328,330
FSD,57132,57110
FWA,68096,67616
GEG,23640,22940
GJT,16,46
GPT,468,466
GRB,70942,70874
GRR,162948,160414
GSO,57242,57800
GSP,32566,32968
GTF,46,48
GUC,674,654
HDN,5436,5386
HNL,39618,35878
HOU,10894,10532
HPN,127256,128882
HSV,32056,30062
HVN,10288,6744
IAD,167896,161476
IAH,296062,294796
ICT,97078,96716
IDA,566,2
ILM,1092,1092
IND,185938,183366
ISP,21688,20956
JAC,8810,10530
JAN,2646,2646
JAX,46118,47348
JFK,72644,72826
KOA,2900,8
LAN,26812,26830
LAR,,2
LAS,226786,225400
LAX,457218,455140
LBB,2,
LEX,39946,39964
LGA,568730,554912
LGB,14318,13976
LIT,50238,50164
LNK,56848,53932
LSE,26466,26456
MBS,64158,63754
MCI,203392,208958
MCN,,2
MCO,180876,184546
MDT,114774,117270
MDW,2,4
MEM,159398,160200
MHK,4088,4090
MHT,58832,52700
MIA,202736,204448
MKE,143766,142216
MKG,6164,6164
MLB,,2
MLI,46760,44528
MOB,1646,1648
MQT,7610,7680
MSN,127676,126148
MSO,1440,1440
MSP,564382,567748
MSY,94770,96186
MTJ,2018,2018
MYR,646,652
OAK,51754,50254
OGG,2778,6718
OKC,103754,101324
OMA,159296,167078
ONT,50934,51340
ORD,2,2
ORF,68004,68210
ORH,1292,1296
PAH,6036,6038
PBI,38476,38492
PDX,135738,135214
PHL,404248,395816
PHX,270404,271134
PIA,63630,63488
PIH,,2
PIT,252430,250768
PNS,4766,4752
PSP,27010,26696
PUB,,2
PVD,116416,117232
PWM,45498,42536
RAP,7658,7758
RDU,158590,156506
RFD,,4
RIC,93208,94406
RNO,22404,22732
ROA,16718,15906
ROC,170224,168152
ROW,,2
RST,73354,72600
RSW,39272,39068
SAN,185166,185822
SAT,100080,102724
SAV,25056,25770
SBA,,238
SBN,32732,32728
SCE,334,336
SDF,77420,77454
SEA,243714,249674
SFO,342450,334374
SGF,49766,48598
SHV,916,910
SJC,136422,128488
SJU,66072,63920
SLC,169806,166082
SMF,77918,76608
SNA,140986,144512
SPI,26252,26178
SRQ,4134,4396
STL,297628,297536
STT,306,1992
SUX,5228,3198
SWF,43148,42138
SYR,134072,132692
TOL,29540,29540
TPA,118724,119162
TRI,2152,2152
TUL,106918,105596
TUS,58006,55112
TVC,50174,50100
TWF,32,30
TYS,82822,82526
VPS,708,708
XNA,68964,69044
